.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR18306560_1	1	0.25	1	0.25	0.25	0.25	1	0.5	0.25	1
SRR18306560_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR18306561_1	1	0.25	1	0.25	0.25	0.25	1	0.5	0.25	1
SRR18306561_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR18306562_1	1	0.25	1	0.25	0.25	0.25	1	0.5	0.25	1
SRR18306562_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR18306563_1	1	0.25	1	0.25	0.25	0.25	1	0.5	0.25	1
SRR18306563_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR18306564_1	1	0.25	1	0.25	0.25	0.25	1	0.5	0.25	1
SRR18306564_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR18306565_1	1	0.25	1	0.25	0.25	0.25	1	0.5	0.25	1
SRR18306565_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR18306566_1	1	0.25	1	0.25	0.25	0.25	1	0.5	0.25	1
SRR18306566_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR18306567_1	1	0.25	1	0.25	0.25	0.25	1	0.5	0.25	1
SRR18306567_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR18306568_1	1	0.25	1	0.25	0.25	0.25	1	0.5	0.25	1
SRR18306568_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR18306569_1	1	0.25	1	0.25	0.25	0.25	1	0.5	0.25	1
SRR18306569_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR18306570_1	1	0.25	1	0.25	0.25	0.25	1	0.5	0.25	1
SRR18306570_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR18306571_1	1	0.25	1	0.25	0.25	0.25	1	0.5	0.25	1
SRR18306571_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR18306572_1	1	0.25	1	0.25	0.25	0.25	1	0.5	0.25	1
SRR18306572_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR18306573_1	1	0.25	1	0.25	0.25	0.25	1	0.5	0.25	1
SRR18306573_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR18306574_1	1	0.25	1	0.25	0.25	0.25	1	0.5	0.25	1
SRR18306574_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR18306575_1	1	0.25	1	0.25	0.25	0.25	1	0.5	0.25	1
SRR18306575_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR18306576_1	1	0.25	1	0.25	0.25	0.25	1	0.5	0.25	1
SRR18306577_1	1	0.25	1	0.25	0.25	0.25	1	0.5	0.25	1
SRR18306577_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR18306578_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR18306579_1	1	0.25	1	0.25	0.25	0.25	1	0.5	0.25	1
SRR18306579_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR18306580_1	1	0.25	1	0.25	0.25	0.25	1	0.5	0.25	1
SRR18306580_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR18306581_1	1	0.25	1	0.25	0.25	0.25	1	0.5	0.25	1
SRR18306581_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR18306582_1	1	0.25	1	0.25	0.25	0.25	1	0.5	0.25	1
SRR18306582_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR18306583_1	1	0.25	1	0.25	0.25	0.25	1	0.5	0.25	1
SRR18306583_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR18306584_1	1	0.25	1	0.25	0.25	0.25	1	0.5	0.25	1
SRR18306584_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR18306585_1	1	0.25	1	0.25	0.25	0.25	1	0.5	0.25	1
SRR18306585_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR18306586_1	1	0.25	1	0.25	0.25	0.25	1	0.5	0.25	1
SRR18306586_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR18306587_1	1	0.25	1	0.25	0.25	0.25	1	0.5	0.25	1
SRR18306587_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR18306588_1	1	0.25	1	0.25	0.25	0.25	1	0.5	0.25	1
SRR18306588_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR18306589_1	1	0.25	1	0.25	0.25	0.25	1	0.5	0.25	1
SRR18306589_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR18306590_1	1	0.25	1	0.25	0.25	0.25	1	0.5	0.25	1
SRR18306590_2	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR18306591_1	1	0.25	1	0.25	0.25	0.25	1	0.5	0.25	1
SRR18306591_2	1	1	1	0.25	1	1	0.5	0.25	1	1
