Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
SRR18306560_2 - polya	(1, 0.03206190400619903)	(2, 0.04607048975659984)	(3, 0.057908731235811785)	(4, 0.07277230109304457)	(5, 0.08522876184950424)	(6, 0.09639616964489418)	(7, 0.10528800435594672)	(8, 0.11429164468096958)	(9, 0.12325582420106175)	(10, 0.13325256145017406)	(11, 0.14220358736862265)	(12, 0.15128614930350692)	(13, 0.160710704881124)	(14, 0.16984588122258254)	(15, 0.17894817355993217)	(16, 0.1889777948131534)	(17, 0.19833000558173086)	(18, 0.2087805420875463)	(19, 0.2183629408848862)	(20, 0.22854382855700847)	(21, 0.23859975701351685)	(22, 0.2493396727554908)	(23, 0.26052681095334607)	(24, 0.27231901482680554)	(25, 0.2835587674312351)	(26, 0.2955416985285263)	(27, 0.3068932567469262)	(28, 0.3192116046861284)	(29, 0.3309248869497265)	(30, 0.34309854527084943)	(31, 0.3557983476577151)	(32, 0.3680509275886995)	(33, 0.380329814722971)	(34, 0.3927270842720346)	(35, 0.4061569115501184)	(36, 0.419317089994509)	(37, 0.43235888602410755)	(38, 0.44605836213588446)	(39, 0.4593303461942454)
SRR18306560_2 - polyg	(1, 0.29868540932133925)	(2, 0.30897810260743186)	(3, 0.3128058006857104)	(4, 0.31391728002459196)	(5, 0.3149564145544339)	(6, 0.3160350098892066)	(7, 0.3172582948420585)	(8, 0.31894853265325707)	(9, 0.320901842497327)	(10, 0.3229011899471495)	(11, 0.3249071141977937)	(12, 0.32682754003775477)	(13, 0.3288071570851119)	(14, 0.33010278684700345)	(15, 0.3315102222228653)	(16, 0.33299657920858855)	(17, 0.3344566289910247)	(18, 0.33591010197263904)	(19, 0.3375806093813723)	(20, 0.3393431920016105)	(21, 0.3411189282234923)	(22, 0.3426973604207206)	(23, 0.3446440934639688)	(24, 0.34651848169817734)	(25, 0.3482416035134848)	(26, 0.350129145349337)	(27, 0.35162207913588206)	(28, 0.35343727616269455)	(29, 0.3548775955426653)	(30, 0.35622583971113114)	(31, 0.3575806606804187)	(32, 0.3592314376866866)	(33, 0.3609611363028159)	(34, 0.36249353089429165)	(35, 0.3638417750627575)	(36, 0.36566354889039177)	(37, 0.3672025202826893)	(38, 0.3687809524799176)	(39, 0.3702541558639973)
SRR18306561_2 - polya	(1, 0.03299907549970485)	(2, 0.04684515683693864)	(3, 0.058774435383187294)	(4, 0.07395852023726561)	(5, 0.08600055188886634)	(6, 0.0978922460666643)	(7, 0.10677719076840715)	(8, 0.11594777667037524)	(9, 0.1255844087411319)	(10, 0.13602534629673324)	(11, 0.14530868530405341)	(12, 0.1545018218270919)	(13, 0.16429630824534144)	(14, 0.17363226536849255)	(15, 0.18335909992353083)	(16, 0.1936346662579492)	(17, 0.20290297151788908)	(18, 0.21359948277895513)	(19, 0.22386753223968334)	(20, 0.2343460541637354)	(21, 0.2448471267088579)	(22, 0.25609988662299416)	(23, 0.26778110833746827)	(24, 0.27922179009385795)	(25, 0.290955629924163)	(26, 0.3031254484284961)	(27, 0.31464129892178716)	(28, 0.3268036005524301)	(29, 0.3391463071516363)	(30, 0.35161680060357486)	(31, 0.3644556208663302)	(32, 0.3773545761186066)	(33, 0.3903287001077845)	(34, 0.4030397335178074)	(35, 0.4166753423917174)	(36, 0.4297998038546979)	(37, 0.44325500776004456)	(38, 0.45722887595001066)	(39, 0.47088703544499105)
SRR18306561_2 - polyg	(1, 0.27892863201994256)	(2, 0.28741518241610814)	(3, 0.2914893279561628)	(4, 0.2930227701889509)	(5, 0.29462386428495024)	(6, 0.29638281272844247)	(7, 0.29811169367717416)	(8, 0.3005246101317084)	(9, 0.3029826278283835)	(10, 0.30542561177767824)	(11, 0.3078310113585223)	(12, 0.3101913096972256)	(13, 0.3128597998572245)	(14, 0.31461874830071673)	(15, 0.3164603823548005)	(16, 0.318234364545673)	(17, 0.3201060660945173)	(18, 0.3219477001486011)	(19, 0.3241877285082621)	(20, 0.326307486888881)	(21, 0.32820925593248584)	(22, 0.33026136244989346)	(23, 0.33239615457789257)	(24, 0.33453094670589173)	(25, 0.3365605026022289)	(26, 0.3389884528041434)	(27, 0.3413863355112974)	(28, 0.34382180258690204)	(29, 0.3457085378831266)	(30, 0.34723446324222457)	(31, 0.3492489853911815)	(32, 0.3511958556769272)	(33, 0.3533306478049263)	(34, 0.35529255183805225)	(35, 0.357622782681995)	(36, 0.359697439820473)	(37, 0.36191491755906363)	(38, 0.3641248784239641)	(39, 0.3660642318360197)
SRR18306562_2 - polya	(1, 0.032853916146548)	(2, 0.04725685828295161)	(3, 0.05894620262554005)	(4, 0.07363243244371559)	(5, 0.08581380275990788)	(6, 0.09636254143641466)	(7, 0.10526373859524796)	(8, 0.1143289444119492)	(9, 0.12305867797392053)	(10, 0.1333315839076494)	(11, 0.14209859216459073)	(12, 0.15083578066555609)	(13, 0.16019172910302323)	(14, 0.1691674756517965)	(15, 0.17847123951630567)	(16, 0.18813284045252673)	(17, 0.1973918746830719)	(18, 0.20735912811804688)	(19, 0.21670016667752603)	(20, 0.2270327121232069)	(21, 0.23789455823746158)	(22, 0.24888313831461423)	(23, 0.26007300174460485)	(24, 0.27173998127021126)	(25, 0.28253473293352)	(26, 0.29408988837421646)	(27, 0.3052126573532611)	(28, 0.3167007183430116)	(29, 0.32797258610193614)	(30, 0.34070562190368425)	(31, 0.35370703550921634)	(32, 0.36613441881221054)	(33, 0.3786512613831327)	(34, 0.39080281194334904)	(35, 0.40387131999982706)	(36, 0.41646271196068924)	(37, 0.4296430441020772)	(38, 0.44292029045038717)	(39, 0.45590679417793123)
SRR18306562_2 - polyg	(1, 0.2980410060410353)	(2, 0.3079262551470763)	(3, 0.31187737281389505)	(4, 0.31293597415104274)	(5, 0.31382311189132844)	(6, 0.31489662310646416)	(7, 0.3160670485285218)	(8, 0.3176027659612853)	(9, 0.31934722168588076)	(10, 0.3211587718614222)	(11, 0.3231045109388556)	(12, 0.3248638765414391)	(13, 0.32704817366668043)	(14, 0.32837515280761204)	(15, 0.3297915912164716)	(16, 0.33115584505237317)	(17, 0.33227408590147284)	(18, 0.3337054341883204)	(19, 0.3353529757059939)	(20, 0.33677686905384746)	(21, 0.338372225998563)	(22, 0.33968429526150656)	(23, 0.34142875098610204)	(24, 0.34299428817484157)	(25, 0.3445896451195571)	(26, 0.3464906545630265)	(27, 0.34798164236182605)	(28, 0.3498304672323375)	(29, 0.3512692704581791)	(30, 0.35264097923307464)	(31, 0.3539828682519942)	(32, 0.3557496887935717)	(33, 0.35724813153136525)	(34, 0.35886585329306275)	(35, 0.3604984849327483)	(36, 0.3619149233416078)	(37, 0.36346555065235936)	(38, 0.3649863582071349)	(39, 0.3665295305788924)
SRR18306563_2 - polya	(1, 0.032146048055558964)	(2, 0.04630113987599929)	(3, 0.05808702132266772)	(4, 0.07257305046515873)	(5, 0.08522388173082325)	(6, 0.09622002638623439)	(7, 0.10527567492598473)	(8, 0.1145419199434037)	(9, 0.1238307288691443)	(10, 0.13392431719168996)	(11, 0.1429498805203448)	(12, 0.15203561427119064)	(13, 0.16127929538028798)	(14, 0.17082382860034045)	(15, 0.18003742449834226)	(16, 0.18946913817678657)	(17, 0.19945742826049792)	(18, 0.20940811183033986)	(19, 0.21921589064747812)	(20, 0.22952007544769237)	(21, 0.24029058101988715)	(22, 0.25145219433632365)	(23, 0.26317790536080105)	(24, 0.27458772166877554)	(25, 0.2856365154436038)	(26, 0.29752017382633267)	(27, 0.30864418062889976)	(28, 0.3205278390116286)	(29, 0.33262209387202607)	(30, 0.34497207302673544)	(31, 0.3584803328086222)	(32, 0.37103338713822626)	(33, 0.38417310308419295)	(34, 0.396726157413797)	(35, 0.4106706527565687)	(36, 0.42400592257465625)	(37, 0.43688239292353714)	(38, 0.45075167523857007)	(39, 0.4645231806175426)
SRR18306563_2 - polyg	(1, 0.31071253889171646)	(2, 0.3238221696265876)	(3, 0.32825221696040235)	(4, 0.3300347657178117)	(5, 0.33162928190587404)	(6, 0.3332388406994842)	(7, 0.33490856991528534)	(8, 0.33721760986686616)	(9, 0.33952664981844705)	(10, 0.3420237223393749)	(11, 0.3446411357046848)	(12, 0.34727359167554245)	(13, 0.3498609198297568)	(14, 0.3516810751010355)	(15, 0.3533733682251583)	(16, 0.35523113001030643)	(17, 0.3568331675011427)	(18, 0.3586984505890647)	(19, 0.36057125497976056)	(20, 0.36230115461775275)	(21, 0.3641739590084486)	(22, 0.3660241994908228)	(23, 0.3678669186704232)	(24, 0.36992023432769217)	(25, 0.3719058582599962)	(26, 0.37376362004514435)	(27, 0.37542582795817164)	(28, 0.37738136667938016)	(29, 0.37886306332583436)	(30, 0.3803221960639669)	(31, 0.3819392761603509)	(32, 0.3835337923484132)	(33, 0.3851884789586666)	(34, 0.3869860703216237)	(35, 0.38865579953742485)	(36, 0.3903330500559999)	(37, 0.3919952579690271)	(38, 0.3935296037348984)	(39, 0.3951617264368302)
SRR18306564_2 - polya	(1, 0.0332155766032149)	(2, 0.04790387178453606)	(3, 0.06033050333282425)	(4, 0.07587005198488107)	(5, 0.08835510288900406)	(6, 0.10024761461251692)	(7, 0.109744932746803)	(8, 0.11910872092489524)	(9, 0.1282555229241725)	(10, 0.13900468439777572)	(11, 0.14798457395181072)	(12, 0.157206486551447)	(13, 0.16681229777514056)	(14, 0.17667682328895967)	(15, 0.18609068520062458)	(16, 0.19607204942611328)	(17, 0.20563613253849627)	(18, 0.21578440920922726)	(19, 0.22588261214638555)	(20, 0.23707409159988083)	(21, 0.24783994431800827)	(22, 0.2585807601693494)	(23, 0.2698640414677279)	(24, 0.2813893458117077)	(25, 0.29213850728531093)	(26, 0.3045484475890749)	(27, 0.31612382566662744)	(28, 0.32869233279337157)	(29, 0.3406683007395056)	(30, 0.35362905211256906)	(31, 0.3669403196206414)	(32, 0.3800679834389472)	(33, 0.39306211730105917)	(34, 0.40601452305186053)	(35, 0.42040237583174556)	(36, 0.4337136433398179)	(37, 0.4472085145376567)	(38, 0.4615045654726585)	(39, 0.4751913859825259)
SRR18306564_2 - polyg	(1, 0.2937408667596369)	(2, 0.3036721572515529)	(3, 0.3073442310468832)	(4, 0.30824555825119154)	(5, 0.30930545227848005)	(6, 0.3106657887072047)	(7, 0.3117590652235417)	(8, 0.31319451225262535)	(9, 0.3148552910827861)	(10, 0.31664125424687856)	(11, 0.3186692404565723)	(12, 0.32038843864256783)	(13, 0.3223413142519026)	(14, 0.32365157694705454)	(15, 0.3249618396422065)	(16, 0.32634721293771746)	(17, 0.3277492774777527)	(18, 0.32919307012909843)	(19, 0.3307620471143759)	(20, 0.33242282594453665)	(21, 0.3340669135301732)	(22, 0.335585816781878)	(23, 0.3372215587452524)	(24, 0.33896579379803427)	(25, 0.3405931901391466)	(26, 0.3422205864802588)	(27, 0.34384798282137113)	(28, 0.34561725474093935)	(29, 0.3470443561477609)	(30, 0.34840469257648554)	(31, 0.3499402870727146)	(32, 0.3514174622131088)	(33, 0.3529780935761242)	(34, 0.3545220336946153)	(35, 0.35593244385691264)	(36, 0.35755984019802495)	(37, 0.3588867941377011)	(38, 0.3604641167452407)	(39, 0.36190790939658646)
