Sample	Top overrepresented sequence
SRR18306560_1	31.069385840581898
SRR18306560_2	0.0
SRR18306561_1	31.059248524606826
SRR18306561_2	0.0
SRR18306562_1	31.058401544782637
SRR18306562_2	0.0
SRR18306563_1	31.038160156966583
SRR18306563_2	0.0
SRR18306564_1	31.06496816562388
SRR18306564_2	0.0
SRR18306565_1	31.03984474169195
SRR18306565_2	0.0
SRR18306566_1	31.035299958714717
SRR18306566_2	0.0
SRR18306567_1	31.049179999675307
SRR18306567_2	0.0
SRR18306568_1	31.05146189717567
SRR18306568_2	0.0
SRR18306569_1	31.071294548627858
SRR18306569_2	0.0
SRR18306570_1	31.0595273323936
SRR18306570_2	0.0
SRR18306571_1	31.04776965443532
SRR18306571_2	0.0
SRR18306572_1	31.022146114884997
SRR18306572_2	0.0
SRR18306573_1	31.070546638692846
SRR18306573_2	0.0
SRR18306574_1	31.040494161405697
SRR18306574_2	0.0
SRR18306575_1	31.03333603492789
SRR18306575_2	0.0
SRR18306576_1	30.957014211769167
SRR18306577_1	30.93493577133215
SRR18306577_2	0.0
SRR18306578_2	0.0
SRR18306579_1	30.967160485988472
SRR18306579_2	0.0
SRR18306580_1	30.960007227960553
SRR18306580_2	0.0
SRR18306581_1	30.93703346406789
SRR18306581_2	0.0
SRR18306582_1	30.962328082051094
SRR18306582_2	0.0
SRR18306583_1	30.92829641862402
SRR18306583_2	0.0
SRR18306584_1	30.942040033781698
SRR18306584_2	0.0
SRR18306585_1	30.969903503431663
SRR18306585_2	0.0
SRR18306586_1	30.971470066167306
SRR18306586_2	0.0
SRR18306587_1	30.95320463575612
SRR18306587_2	0.0
SRR18306588_1	30.9297731757607
SRR18306588_2	0.0
SRR18306589_1	30.957423323936673
SRR18306589_2	0.0
SRR18306590_1	30.94398944151255
SRR18306590_2	0.0
SRR18306591_1	30.942496441797786
SRR18306591_2	0.0
