Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
SRR18306560_1	(1, 31.08051378757236)	(2, 31.070392091107635)	(3, 31.06949764619587)	(4, 31.069385840581898)	(5, 31.06947133899258)	(6, 31.092884749918138)	(7, 31.069425301386833)	(8, 31.069385840581898)	(9, 31.06987252384271)	(10, 31.069385840581898)	(11, 31.069385840581898)	(12, 31.069385840581898)	(13, 31.069385840581898)	(14, 31.069385840581898)	(15, 31.069385840581898)	(16, 31.069385840581898)	(17, 31.069385840581898)	(18, 31.069385840581898)	(19, 31.069385840581898)	(20, 31.069385840581898)	(21, 31.069984329456684)	(22, 31.06947133899258)	(23, 31.070148749477227)	(24, 31.06990540784682)	(25, 31.07245062976485)	(26, 31.074713049247542)	(27, 31.07450259162125)	(28, 31.078027756861726)																						
SRR18306560_2	(1, 0.0797634403666014)	(2, 0.05127273920663131)	(3, 0.055692349358870435)	(4, 0.06682029634932966)	(5, 0.07126621370485593)	(6, 0.07952667553701717)	(7, 0.08359771524570171)	(8, 0.09062173852336747)	(9, 0.10186806792861881)	(10, 0.10599829884469943)	(11, 0.1163107225332574)	(12, 0.11266717487798884)	(13, 0.11771815790911927)	(14, 0.12600492694456764)	(15, 0.1305297659099553)	(16, 0.1321805429162232)	(17, 0.12965505140065797)	(18, 0.1140746102538507)	(19, 0.11648829615544558)	(20, 0.12113151753562537)	(21, 0.10036198054043019)	(22, 0.12090790630768472)	(23, 0.10962211609750266)	(24, 0.099178156392509)	(25, 0.10666913252852143)	(26, 0.0917924090696451)	(27, 0.08932610876147594)	(28, 0.08695188366481177)	(29, 0.031683082319754356)	(30, 0.028327333158916796)	(31, 0.04332343948102415)	(32, 0.024070150604918815)	(33, 0.02370178599735069)	(34, 0.02764991028584559)	(35, 0.02262934423858475)	(36, 0.027321055966709373)	(37, 0.024511310275286035)	(38, 0.02122121128831572)	(39, 0.01960914628488931)	(40, 0.020984617466018936)	(41, 0.02012351680369588)	(42, 0.02931036604461875)	(43, 0.018223028946448974)	(44, 0.02066734188759441)	(45, 0.023282917739397252)	(46, 0.026503559590857807)	(47, 0.018666379274198446)	(48, 0.01995919182838269)	(49, 0.01921950618381428)	(50, 0.023535168742941412)
SRR18306561_1	(1, 31.090721674747428)	(2, 31.059737121396687)	(3, 31.05948154769122)	(4, 31.059316176470038)	(5, 31.059248524606826)	(6, 31.059286108975275)	(7, 31.059248524606826)	(8, 31.059248524606826)	(9, 31.059278592101585)	(10, 31.059248524606826)	(11, 31.059248524606826)	(12, 31.05938382833325)	(13, 31.059248524606826)	(14, 31.059248524606826)	(15, 31.059248524606826)	(16, 31.059248524606826)	(17, 31.059308659596347)	(18, 31.059248524606826)	(19, 31.059263558354207)	(20, 31.059338727091106)	(21, 31.059406378954318)	(22, 31.05948154769122)	(23, 31.059564233301813)	(24, 31.05937631145956)	(25, 31.060774449965923)	(26, 31.068404076761414)	(27, 31.070050272099554)	(28, 31.075740545482986)																						
SRR18306561_2	(1, 0.055549696570118184)	(2, 0.05548956158059708)	(3, 0.06328455959726996)	(4, 0.07302642789968852)	(5, 0.08315917363399425)	(6, 0.09184116274610338)	(7, 0.09377299928446879)	(8, 0.1058300646834498)	(9, 0.11182852988817975)	(10, 0.11977386537865538)	(11, 0.12495299135116031)	(12, 0.1294480818178627)	(13, 0.13161294144062238)	(14, 0.13691233739216951)	(15, 0.13427391472693115)	(16, 0.14014459307892876)	(17, 0.12733584031093398)	(18, 0.13395068915825523)	(19, 0.13187603201977718)	(20, 0.12440425957178025)	(21, 0.11645140720761447)	(22, 0.11956339291533151)	(23, 0.11567716921753028)	(24, 0.11032515515015218)	(25, 0.10755894563218148)	(26, 0.09623853385483398)	(27, 0.09347984121055342)	(28, 0.09366776305280687)	(29, 0.030896050134030798)	(30, 0.03388940996551719)	(31, 0.0286849715493066)	(32, 0.030249437523667624)	(33, 0.027880370572016908)	(34, 0.02650406029568423)	(35, 0.02795572991681271)	(36, 0.02919672894349508)	(37, 0.026000302797856707)	(38, 0.026684771396572483)	(39, 0.02666986364073272)	(40, 0.024977840721702404)	(41, 0.022459378686034585)	(42, 0.022249066186082828)	(43, 0.02553012430552834)	(44, 0.02284769210850344)	(45, 0.02619084622398367)	(46, 0.02684339055151829)	(47, 0.02613734554206825)	(48, 0.023286433598199718)	(49, 0.024811649655517052)	(50, 0.03261167314233853)
SRR18306562_1	(1, 31.06901737791009)	(2, 31.06033982892108)	(3, 31.058401544782637)	(4, 31.058401544782637)	(5, 31.058401544782637)	(6, 31.085776080768596)	(7, 31.058401544782637)	(8, 31.058401544782637)	(9, 31.059079944231094)	(10, 31.058401544782637)	(11, 31.058401544782637)	(12, 31.058401544782637)	(13, 31.058401544782637)	(14, 31.058401544782637)	(15, 31.058401544782637)	(16, 31.058401544782637)	(17, 31.058401544782637)	(18, 31.058401544782637)	(19, 31.058401544782637)	(20, 31.058401544782637)	(21, 31.05908739917009)	(22, 31.058550643562516)	(23, 31.05951978563174)	(24, 31.05881156642731)	(25, 31.06109277775947)	(26, 31.06345599342057)	(27, 31.063664731712404)	(28, 31.066393239384205)																						
SRR18306562_2	(1, 0.07186561190213812)	(2, 0.027046518670223767)	(3, 0.028679150309909272)	(4, 0.032600448220752073)	(5, 0.03525440650261527)	(6, 0.041046894100951505)	(7, 0.04310445726329488)	(8, 0.0502537437585387)	(9, 0.058670369882762134)	(10, 0.06051173981427958)	(11, 0.06889109124353303)	(12, 0.06741501332272147)	(13, 0.0705908173341645)	(14, 0.07747172602562441)	(15, 0.08261563393148284)	(16, 0.0814452085094252)	(17, 0.08197450917799905)	(18, 0.06824996649004922)	(19, 0.07092628958889441)	(20, 0.07401263433240947)	(21, 0.06098140097090144)	(22, 0.07833649894892815)	(23, 0.06556618845221004)	(24, 0.059348769331215925)	(25, 0.05202056430011616)	(26, 0.04950079492014493)	(27, 0.05115579137681243)	(28, 0.0476296052326515)	(29, 0.016196469438112263)	(30, 0.015555192485067277)	(31, 0.022810819412506934)	(32, 0.013832667525907729)	(33, 0.012788713598585919)	(34, 0.015920652957058083)	(35, 0.012378596541569266)	(36, 0.015391222275572825)	(37, 0.014891604110619638)	(38, 0.01197592734206373)	(39, 0.010052071670077883)	(40, 0.01126021995460118)	(41, 0.009955679700354176)	(42, 0.01255100945017182)	(43, 0.00944925110769536)	(44, 0.010091916248283516)	(45, 0.01137178583823157)	(46, 0.013602214479359366)	(47, 0.009856243720210291)	(48, 0.009068900587941436)	(49, 0.009143316581853954)	(50, 0.010748387908541556)
SRR18306563_1	(1, 31.077985455154273)	(2, 31.038340668233154)	(3, 31.038506136894178)	(4, 31.038212806085998)	(5, 31.038160156966583)	(6, 31.03843092386644)	(7, 31.038160156966583)	(8, 31.038160156966583)	(9, 31.03831058302206)	(10, 31.038160156966583)	(11, 31.038160156966583)	(12, 31.038212806085998)	(13, 31.038160156966583)	(14, 31.038160156966583)	(15, 31.038160156966583)	(16, 31.038160156966583)	(17, 31.038265455205416)	(18, 31.038160156966583)	(19, 31.038385796049795)	(20, 31.038633999041338)	(21, 31.038461009077533)	(22, 31.038288019113736)	(23, 31.038573828619143)	(24, 31.03831058302206)	(25, 31.040040482660054)	(26, 31.04730606113962)	(27, 31.048900577327682)	(28, 31.05520342905219)																						
SRR18306563_2	(1, 0.037125150491866876)	(2, 0.030446233628662302)	(3, 0.032153569358332836)	(4, 0.03489884487079868)	(5, 0.040554864556755714)	(6, 0.04862522243312791)	(7, 0.05071614460426628)	(8, 0.06001999613555463)	(9, 0.06696215859584498)	(10, 0.07278364694282734)	(11, 0.07734155642379803)	(12, 0.08222288192404552)	(13, 0.08419346325080183)	(14, 0.0894734177980649)	(15, 0.08570524510835151)	(16, 0.09233151285213893)	(17, 0.08031247101948025)	(18, 0.08789394421555032)	(19, 0.08576541553054254)	(20, 0.07943999989771029)	(21, 0.07231732617084684)	(22, 0.07573199763018792)	(23, 0.0703617874496383)	(24, 0.060546487329726166)	(25, 0.05744771058688801)	(26, 0.05196468086473019)	(27, 0.04988880129913959)	(28, 0.05000914214352165)	(29, 0.012714883410538006)	(30, 0.015122436436675475)	(31, 0.011902344498540007)	(32, 0.013023375491903275)	(33, 0.011134951778511364)	(34, 0.01036003179483977)	(35, 0.011586387048525895)	(36, 0.012632176086064317)	(37, 0.009713010265019221)	(38, 0.010149394726663409)	(39, 0.009856012683108352)	(40, 0.00911124849459378)	(41, 0.0066287411381029376)	(42, 0.006275179722953072)	(43, 0.00853296251817205)	(44, 0.007864265634875016)	(45, 0.009892505952442794)	(46, 0.009443063489566922)	(47, 0.009815643879351498)	(48, 0.006815982431979751)	(49, 0.007585413250319636)	(50, 0.00969723440480113)
SRR18306564_1	(1, 31.075884239542727)	(2, 31.06601136840664)	(3, 31.065151769313648)	(4, 31.06496816562388)	(5, 31.065093349957813)	(6, 31.08905363147234)	(7, 31.064984856868406)	(8, 31.06496816562388)	(9, 31.065569050426756)	(10, 31.06496816562388)	(11, 31.06496816562388)	(12, 31.06496816562388)	(13, 31.06496816562388)	(14, 31.06496816562388)	(15, 31.06496816562388)	(16, 31.06496816562388)	(17, 31.06496816562388)	(18, 31.06496816562388)	(19, 31.06496816562388)	(20, 31.06496816562388)	(21, 31.065610778538066)	(22, 31.06504327622424)	(23, 31.06568588913842)	(24, 31.06539379235925)	(25, 31.067788985948475)	(26, 31.070267635760324)	(27, 31.070234253271273)	(28, 31.073522428442544)																						
SRR18306564_2	(1, 0.08000113500462765)	(2, 0.0511920469558091)	(3, 0.055723719844137154)	(4, 0.06664813938524478)	(5, 0.07047043438129312)	(6, 0.07821517184053518)	(7, 0.08260496915040731)	(8, 0.08908951764807012)	(9, 0.10073166070371956)	(10, 0.10498792805739784)	(11, 0.11520296970622575)	(12, 0.1121985456918646)	(13, 0.11608760566600987)	(14, 0.12513426019814178)	(15, 0.12854761970334652)	(16, 0.13071748149149623)	(17, 0.12785493305559104)	(18, 0.11308318165164871)	(19, 0.11487749043800329)	(20, 0.11985982692848551)	(21, 0.10021423212346849)	(22, 0.11951765641573883)	(23, 0.10795896958271055)	(24, 0.09828639338092009)	(25, 0.10605616770694849)	(26, 0.09087548081216257)	(27, 0.08923139322652605)	(28, 0.08613516736728165)	(29, 0.031244883149397384)	(30, 0.02792173997194967)	(31, 0.04230016013274201)	(32, 0.023346192387154015)	(33, 0.023680328919434696)	(34, 0.027320914619386346)	(35, 0.021935336265281463)	(36, 0.026435978381281453)	(37, 0.023830792356310925)	(38, 0.02056595882082157)	(39, 0.0191131498470948)	(40, 0.0205578817933487)	(41, 0.01932300668656196)	(42, 0.028684216173939753)	(43, 0.01751232752612193)	(44, 0.019986846934161338)	(45, 0.023128054304805197)	(46, 0.02548559595435611)	(47, 0.0178372179857662)	(48, 0.019268618657771606)	(49, 0.018353634656684555)	(50, 0.022967343448503073)
