Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
SRR18306560_1	(1, 21.60943859047057)	(2, 21.60943859047057)	(3, 21.60943859047057)	(4, 21.60943859047057)	(5, 21.60943859047057)	(6, 21.60943859047057)	(7, 21.60943859047057)	(8, 21.60943859047057)	(9, 21.60943859047057)	(10, 21.60943859047057)	(11, 21.60943859047057)	(12, 21.60943859047057)	(13, 21.60943859047057)	(14, 21.60943859047057)	(15, 21.60943859047057)	(16, 21.60943859047057)	(17, 21.60943859047057)	(18, 21.60943859047057)	(19, 21.60943859047057)	(20, 21.60943859047057)	(21, 21.60943859047057)	(22, 21.60943859047057)	(23, 21.60943859047057)	(24, 21.60943859047057)	(25, 21.60943859047057)	(26, 21.60943859047057)	(27, 21.60943859047057)	(28, 21.60943859047057)																						
SRR18306560_2	(1, 29.4875456109358)	(2, 29.4875456109358)	(3, 29.4875456109358)	(4, 29.4875456109358)	(5, 29.4875456109358)	(6, 29.4875456109358)	(7, 29.4875456109358)	(8, 29.4875456109358)	(9, 29.4875456109358)	(10, 29.4875456109358)	(11, 29.4875456109358)	(12, 29.4875456109358)	(13, 29.4875456109358)	(14, 29.4875456109358)	(15, 29.4875456109358)	(16, 29.4875456109358)	(17, 29.4875456109358)	(18, 29.4875456109358)	(19, 29.4875456109358)	(20, 29.4875456109358)	(21, 29.4875456109358)	(22, 29.4875456109358)	(23, 29.4875456109358)	(24, 29.4875456109358)	(25, 29.4875456109358)	(26, 29.4875456109358)	(27, 29.4875456109358)	(28, 29.4875456109358)	(29, 29.500749832948234)	(30, 29.500835277972403)	(31, 29.500870153650816)	(32, 29.500992219248147)	(33, 29.501129980344363)	(34, 29.501149162382752)	(35, 29.501278205908214)	(36, 29.50129735534547)	(37, 29.50130255405879)	(38, 29.501311207648797)	(39, 29.50135869010903)	(40, 29.50140371232294)	(41, 29.501428881563495)	(42, 29.501487530689843)	(43, 29.501526318522355)	(44, 29.501549326626407)	(45, 29.501467758821633)	(46, 29.501159571927634)	(47, 29.499572190168408)	(48, 29.491210902398265)	(49, 29.464474357781512)	(50, 29.411487359877942)
SRR18306561_1	(1, 21.61224530294993)	(2, 21.61224530294993)	(3, 21.61224530294993)	(4, 21.61224530294993)	(5, 21.61224530294993)	(6, 21.61224530294993)	(7, 21.61224530294993)	(8, 21.61224530294993)	(9, 21.61224530294993)	(10, 21.61224530294993)	(11, 21.61224530294993)	(12, 21.61224530294993)	(13, 21.61224530294993)	(14, 21.61224530294993)	(15, 21.61224530294993)	(16, 21.61224530294993)	(17, 21.61224530294993)	(18, 21.61224530294993)	(19, 21.61224530294993)	(20, 21.61224530294993)	(21, 21.61224530294993)	(22, 21.61224530294993)	(23, 21.61224530294993)	(24, 21.61224530294993)	(25, 21.61224530294993)	(26, 21.61224530294993)	(27, 21.61224530294993)	(28, 21.61224530294993)																						
SRR18306561_2	(1, 29.403127906446194)	(2, 29.403127906446194)	(3, 29.403127906446194)	(4, 29.403127906446194)	(5, 29.403127906446194)	(6, 29.403127906446194)	(7, 29.403127906446194)	(8, 29.403127906446194)	(9, 29.403127906446194)	(10, 29.403127906446194)	(11, 29.403127906446194)	(12, 29.403127906446194)	(13, 29.403127906446194)	(14, 29.403127906446194)	(15, 29.403127906446194)	(16, 29.403127906446194)	(17, 29.403127906446194)	(18, 29.403127906446194)	(19, 29.403127906446194)	(20, 29.403127906446194)	(21, 29.403127906446194)	(22, 29.403127906446194)	(23, 29.403127906446194)	(24, 29.403127906446194)	(25, 29.403127906446194)	(26, 29.403127906446194)	(27, 29.403127906446194)	(28, 29.403127906446194)	(29, 29.41743534505127)	(30, 29.41745322663509)	(31, 29.41750885838401)	(32, 29.417600253908756)	(33, 29.41764396503544)	(34, 29.417677741914233)	(35, 29.41778300306663)	(36, 29.417806845813143)	(37, 29.417824640329773)	(38, 29.417874269149014)	(39, 29.417907888337957)	(40, 29.417947266746566)	(41, 29.41799100030282)	(42, 29.41803618519527)	(43, 29.418068422688894)	(44, 29.418084177758807)	(45, 29.417964436894923)	(46, 29.417595311364497)	(47, 29.415793301752473)	(48, 29.406585471637488)	(49, 29.376746073088885)	(50, 29.311519983945022)
SRR18306562_1	(1, 21.612397891564335)	(2, 21.612397891564335)	(3, 21.612397891564335)	(4, 21.612397891564335)	(5, 21.612397891564335)	(6, 21.612397891564335)	(7, 21.612397891564335)	(8, 21.612397891564335)	(9, 21.612397891564335)	(10, 21.612397891564335)	(11, 21.612397891564335)	(12, 21.612397891564335)	(13, 21.612397891564335)	(14, 21.612397891564335)	(15, 21.612397891564335)	(16, 21.612397891564335)	(17, 21.612397891564335)	(18, 21.612397891564335)	(19, 21.612397891564335)	(20, 21.612397891564335)	(21, 21.612397891564335)	(22, 21.612397891564335)	(23, 21.612397891564335)	(24, 21.612397891564335)	(25, 21.612397891564335)	(26, 21.612397891564335)	(27, 21.612397891564335)	(28, 21.612397891564335)																						
SRR18306562_2	(1, 29.51123973697186)	(2, 29.51123973697186)	(3, 29.51123973697186)	(4, 29.51123973697186)	(5, 29.51123973697186)	(6, 29.51123973697186)	(7, 29.51123973697186)	(8, 29.51123973697186)	(9, 29.51123973697186)	(10, 29.51123973697186)	(11, 29.51123973697186)	(12, 29.51123973697186)	(13, 29.51123973697186)	(14, 29.51123973697186)	(15, 29.51123973697186)	(16, 29.51123973697186)	(17, 29.51123973697186)	(18, 29.51123973697186)	(19, 29.51123973697186)	(20, 29.51123973697186)	(21, 29.51123973697186)	(22, 29.51123973697186)	(23, 29.51123973697186)	(24, 29.51123973697186)	(25, 29.51123973697186)	(26, 29.51123973697186)	(27, 29.51123973697186)	(28, 29.51123973697186)	(29, 29.518348765466623)	(30, 29.51838238227549)	(31, 29.51840215690876)	(32, 29.518439728793215)	(33, 29.51848323321349)	(34, 29.51849905303807)	(35, 29.51851882784534)	(36, 29.51852476029327)	(37, 29.51852476029327)	(38, 29.518532598422027)	(39, 29.51853634081176)	(40, 29.518559825324907)	(41, 29.51857017646759)	(42, 29.51860099871134)	(43, 29.51860010873724)	(44, 29.518613581048978)	(45, 29.518536272079377)	(46, 29.51824026336158)	(47, 29.516574215901283)	(48, 29.508413864658188)	(49, 29.48259348319798)	(50, 29.43265084589924)
SRR18306563_1	(1, 21.617710682408553)	(2, 21.617710682408553)	(3, 21.617710682408553)	(4, 21.617710682408553)	(5, 21.617710682408553)	(6, 21.617710682408553)	(7, 21.617710682408553)	(8, 21.617710682408553)	(9, 21.617710682408553)	(10, 21.617710682408553)	(11, 21.617710682408553)	(12, 21.617710682408553)	(13, 21.617710682408553)	(14, 21.617710682408553)	(15, 21.617710682408553)	(16, 21.617710682408553)	(17, 21.617710682408553)	(18, 21.617710682408553)	(19, 21.617710682408553)	(20, 21.617710682408553)	(21, 21.617710682408553)	(22, 21.617710682408553)	(23, 21.617710682408553)	(24, 21.617710682408553)	(25, 21.617710682408553)	(26, 21.617710682408553)	(27, 21.617710682408553)	(28, 21.617710682408553)																						
SRR18306563_2	(1, 29.482129873493943)	(2, 29.482129873493943)	(3, 29.482129873493943)	(4, 29.482129873493943)	(5, 29.482129873493943)	(6, 29.482129873493943)	(7, 29.482129873493943)	(8, 29.482129873493943)	(9, 29.482129873493943)	(10, 29.482129873493943)	(11, 29.482129873493943)	(12, 29.482129873493943)	(13, 29.482129873493943)	(14, 29.482129873493943)	(15, 29.482129873493943)	(16, 29.482129873493943)	(17, 29.482129873493943)	(18, 29.482129873493943)	(19, 29.482129873493943)	(20, 29.482129873493943)	(21, 29.482129873493943)	(22, 29.482129873493943)	(23, 29.482129873493943)	(24, 29.482129873493943)	(25, 29.482129873493943)	(26, 29.482129873493943)	(27, 29.482129873493943)	(28, 29.482129873493943)	(29, 29.490217063373535)	(30, 29.490219056391567)	(31, 29.490238986588345)	(32, 29.490266888914217)	(33, 29.490274861018122)	(34, 29.490306749481718)	(35, 29.490316714642333)	(36, 29.49032667981045)	(37, 29.490330589188495)	(38, 29.490358338337185)	(39, 29.490360330557124)	(40, 29.490370102525244)	(41, 29.490397805728676)	(42, 29.490426513582378)	(43, 29.49044804825413)	(44, 29.49045857624131)	(45, 29.490359775534973)	(46, 29.490048118927433)	(47, 29.488437269969516)	(48, 29.480398816391855)	(49, 29.453607712369113)	(50, 29.4003322171611)
SRR18306564_1	(1, 21.610500461930194)	(2, 21.610500461930194)	(3, 21.610500461930194)	(4, 21.610500461930194)	(5, 21.610500461930194)	(6, 21.610500461930194)	(7, 21.610500461930194)	(8, 21.610500461930194)	(9, 21.610500461930194)	(10, 21.610500461930194)	(11, 21.610500461930194)	(12, 21.610500461930194)	(13, 21.610500461930194)	(14, 21.610500461930194)	(15, 21.610500461930194)	(16, 21.610500461930194)	(17, 21.610500461930194)	(18, 21.610500461930194)	(19, 21.610500461930194)	(20, 21.610500461930194)	(21, 21.610500461930194)	(22, 21.610500461930194)	(23, 21.610500461930194)	(24, 21.610500461930194)	(25, 21.610500461930194)	(26, 21.610500461930194)	(27, 21.610500461930194)	(28, 21.610500461930194)																						
SRR18306564_2	(1, 29.470168322855404)	(2, 29.470168322855404)	(3, 29.470168322855404)	(4, 29.470168322855404)	(5, 29.470168322855404)	(6, 29.470168322855404)	(7, 29.470168322855404)	(8, 29.470168322855404)	(9, 29.470168322855404)	(10, 29.470168322855404)	(11, 29.470168322855404)	(12, 29.470168322855404)	(13, 29.470168322855404)	(14, 29.470168322855404)	(15, 29.470168322855404)	(16, 29.470168322855404)	(17, 29.470168322855404)	(18, 29.470168322855404)	(19, 29.470168322855404)	(20, 29.470168322855404)	(21, 29.470168322855404)	(22, 29.470168322855404)	(23, 29.470168322855404)	(24, 29.470168322855404)	(25, 29.470168322855404)	(26, 29.470168322855404)	(27, 29.470168322855404)	(28, 29.470168322855404)	(29, 29.48335875981026)	(30, 29.483425099055797)	(31, 29.48346269144246)	(32, 29.483588737282442)	(33, 29.483747954795287)	(34, 29.48377449123355)	(35, 29.483913808406903)	(36, 29.483929288183308)	(37, 29.483931499581416)	(38, 29.483933710979894)	(39, 29.48395622662835)	(40, 29.48402154920256)	(41, 29.484046160775765)	(42, 29.484092201341987)	(43, 29.48414996565179)	(44, 29.484193770017125)	(45, 29.48411421014227)	(46, 29.483830865641227)	(47, 29.482077294499195)	(48, 29.473622302371872)	(49, 29.44615516280911)	(50, 29.392798058201937)
