Sample	Unique Reads	Duplicate Reads
SRR18306560_1	10218285.0	4986676.0
SRR18306560_2	7023426.0	8181535.0
SRR18306561_1	8944699.0	4358704.0
SRR18306561_2	5905393.0	7398010.0
SRR18306562_1	9005391.0	4408535.0
SRR18306562_2	5952314.0	7461612.0
SRR18306563_1	8926374.0	4369195.0
SRR18306563_2	5924182.0	7371387.0
SRR18306564_1	8076254.0	3906076.0
SRR18306564_2	5717517.0	6264813.0
SRR18306565_1	8006437.0	3866422.0
SRR18306565_2	5349202.0	6523657.0
SRR18306566_1	8059688.0	3932479.0
SRR18306566_2	5429612.0	6562555.0
SRR18306567_1	7995548.0	3892679.0
SRR18306567_2	5391880.0	6496347.0
SRR18306568_1	10122291.0	4958284.0
SRR18306568_2	6594183.0	8486392.0
SRR18306569_1	10213619.0	5015666.0
SRR18306569_2	6660953.0	8568332.0
SRR18306570_1	10114391.0	4970713.0
SRR18306570_2	6596208.0	8488896.0
SRR18306571_1	6959165.0	3357196.0
SRR18306571_2	4935042.0	5381319.0
SRR18306572_1	6903369.0	3332467.0
SRR18306572_2	4716802.0	5519034.0
SRR18306573_1	6950957.0	3378224.0
SRR18306573_2	4739640.0	5589541.0
SRR18306574_1	6894393.0	3351652.0
SRR18306574_2	4727072.0	5518973.0
SRR18306575_1	9018161.0	4381333.0
SRR18306575_2	6234434.0	7165060.0
SRR18306576_1	10508008.0	5099127.0
SRR18306577_1	11616187.0	5641683.0
SRR18306577_2	6884974.0	10372896.0
SRR18306578_2	7000079.0	10430417.0
SRR18306579_1	11575758.0	5685886.0
SRR18306579_2	6917634.0	10344010.0
SRR18306580_1	11534997.0	5620603.0
SRR18306580_2	7451206.0	9704394.0
SRR18306581_1	11435304.0	5550258.0
SRR18306581_2	6819370.0	10166192.0
SRR18306582_1	11511039.0	5655435.0
SRR18306582_2	6885249.0	10281225.0
SRR18306583_1	11387496.0	5572410.0
SRR18306583_2	6859715.0	10100191.0
SRR18306584_1	10408871.0	5063412.0
SRR18306584_2	6478671.0	8993612.0
SRR18306585_1	10477698.0	5138505.0
SRR18306585_2	6525266.0	9090937.0
SRR18306586_1	10375663.0	5083784.0
SRR18306586_2	6475739.0	8983708.0
SRR18306587_1	4107752.0	1945198.0
SRR18306587_2	2907160.0	3145790.0
SRR18306588_1	4068653.0	1939920.0
SRR18306588_2	2823052.0	3185521.0
SRR18306589_1	4105750.0	1955268.0
SRR18306589_2	2832405.0	3228613.0
SRR18306590_1	4064843.0	1942078.0
SRR18306590_2	2810715.0	3196206.0
SRR18306591_1	11705077.0	5701185.0
SRR18306591_2	7471263.0	9934999.0
