Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR18306560_1	(1.0, 65.8231393251323)	(2.0, 2.662183642934575)	(3.0, 0.09989702099784246)	(4.0, 0.028579826331365125)	(5.0, 0.011907126211662147)	(6.0, 0.007741580809873554)	(7.0, 0.006364364291374466)	(8.0, 0.0028421349222058183)	(9.0, 0.006425338500007355)	('>10', 0.0560166745320143)	('>50', 0.012883807090515606)	('>100', 0.023736841659363534)	('>500', 0.003368478922545476)	('>1k', 0.052970982272185725)	('>5k', 0.0)	('>10k+', 31.201942855392183)
SRR18306560_2	(1.0, 40.401982725865956)	(2.0, 5.919290359079258)	(3.0, 2.829667916720195)	(4.0, 1.8507643231427542)	(5.0, 1.3407777987362328)	(6.0, 1.0988083970267013)	(7.0, 0.8788522090744835)	(8.0, 0.7754089394684144)	(9.0, 0.6880670509769881)	('>10', 9.875612792120824)	('>50', 5.371297224061584)	('>100', 18.41531677848592)	('>500', 6.084797459959942)	('>1k', 4.098606347907029)	('>5k', 0.1437648702345337)	('>10k+', 0.22698480713917807)
SRR18306561_1	(1.0, 65.94171506819873)	(2.0, 2.495519365391942)	(3.0, 0.09023818895117391)	(4.0, 0.024428961067419836)	(5.0, 0.01473810824461112)	(6.0, 0.011290767996454176)	(7.0, 0.007095452787202643)	(8.0, 0.00428058907749306)	(9.0, 0.0064559852981794464)	('>10', 0.056202592463040435)	('>50', 0.013260854657521179)	('>100', 0.022252055387091813)	('>500', 0.006640413511545471)	('>1k', 0.055573756814164155)	('>5k', 0.0)	('>10k+', 31.250307840153376)
SRR18306561_2	(1.0, 38.25077294636008)	(2.0, 6.1806877155743924)	(3.0, 2.9508390750049327)	(4.0, 2.0488902264935804)	(5.0, 1.4607590183961874)	(6.0, 1.1943212221704738)	(7.0, 0.9818098391908283)	(8.0, 0.8056225655758094)	(9.0, 0.7194234749471197)	('>10', 10.923524664576716)	('>50', 6.117036669229424)	('>100', 19.29965558396254)	('>500', 5.317266484037817)	('>1k', 3.3756105707737802)	('>5k', 0.29768167019655833)	('>10k+', 0.07609827350971383)
SRR18306562_1	(1.0, 65.71994483632564)	(2.0, 2.73414640105681)	(3.0, 0.0951087369059931)	(4.0, 0.02303470696487718)	(5.0, 0.013334811948396178)	(6.0, 0.010584850640845321)	(7.0, 0.010642423891482065)	(8.0, 0.006420121702106574)	(9.0, 0.00573769996788344)	('>10', 0.05106757101464043)	('>50', 0.010544533723239904)	('>100', 0.026175587157480314)	('>500', 0.006605861946063394)	('>1k', 0.04826553160818395)	('>5k', 0.0)	('>10k+', 31.238386325146365)
SRR18306562_2	(1.0, 38.22341450458608)	(2.0, 6.375455949789075)	(3.0, 2.881248866913123)	(4.0, 1.9130012717790685)	(5.0, 1.3977053269560125)	(6.0, 1.1531721327518398)	(7.0, 1.0023176438217716)	(8.0, 0.8347979959812891)	(9.0, 0.6936909573515125)	('>10', 10.688599033947332)	('>50', 6.043155039256695)	('>100', 19.41348401759642)	('>500', 5.483169508082897)	('>1k', 3.5678658056586383)	('>5k', 0.17102586030137934)	('>10k+', 0.15789608522695905)
SRR18306563_1	(1.0, 65.74494341639702)	(2.0, 2.6833438667338996)	(3.0, 0.10759466759788637)	(4.0, 0.02163782243140763)	(5.0, 0.017546084824676872)	(6.0, 0.007762771579896427)	(7.0, 0.007095836129187941)	(8.0, 0.0064212723694553435)	(9.0, 0.0021521393672396826)	('>10', 0.05366708554940167)	('>50', 0.019438589300775414)	('>100', 0.018123924375363174)	('>500', 0.014069381429890525)	('>1k', 0.047486055407343096)	('>5k', 0.0)	('>10k+', 31.248717086506577)
SRR18306563_2	(1.0, 38.43171361458234)	(2.0, 6.242367065040838)	(3.0, 2.93925680969956)	(4.0, 2.020342217853906)	(5.0, 1.4222858135699723)	(6.0, 1.16730604495774)	(7.0, 0.9487531173331885)	(8.0, 0.7863654153867355)	(9.0, 0.690622571648305)	('>10', 10.70967526186995)	('>50', 6.019500217355298)	('>100', 19.357740888446365)	('>500', 5.404783482566653)	('>1k', 3.5280530907248537)	('>5k', 0.2449355417742045)	('>10k+', 0.08629884719001973)
SRR18306564_1	(1.0, 66.17914893013773)	(2.0, 2.3622023342950484)	(3.0, 0.08001038521962156)	(4.0, 0.022399707435725325)	(5.0, 0.012676614331888695)	(6.0, 0.002834155844282884)	(7.0, 0.007841225506789647)	(8.0, 0.005737244100187762)	(9.0, 0.005050426132353292)	('>10', 0.058785700551359774)	('>50', 0.009045800463302412)	('>100', 0.020710817576970436)	('>500', 0.006064926063003042)	('>1k', 0.04583877819993459)	('>5k', 0.0)	('>10k+', 31.181652954141803)
SRR18306564_2	(1.0, 42.02696887252246)	(2.0, 5.766527160362572)	(3.0, 2.7504679151263547)	(4.0, 1.8516011856159382)	(5.0, 1.2752889289870142)	(6.0, 1.0749261475052052)	(7.0, 0.8691685644963069)	(8.0, 0.7593645066008904)	(9.0, 0.6442932113332848)	('>10', 10.271904192635159)	('>50', 5.965059114119764)	('>100', 18.654437717930296)	('>500', 4.799796680642666)	('>1k', 2.92241317425276)	('>5k', 0.3677826278693337)	('>10k+', 0.0)
