Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
SRR18306560_1	(28, 15204961.0)																						
SRR18306560_2	(28, 7576.0)	(29, 49.0)	(30, 20.0)	(31, 70.0)	(32, 79.0)	(33, 11.0)	(34, 74.0)	(35, 12.0)	(36, 4.0)	(37, 7.0)	(38, 69.0)	(39, 144.0)	(40, 695.0)	(41, 162.0)	(42, 930.0)	(43, 2007.0)	(44, 5952.0)	(45, 15553.0)	(46, 74886.0)	(47, 351575.0)	(48, 998635.0)	(49, 3553195.0)	(50, 10193256.0)
SRR18306561_1	(28, 13303403.0)																						
SRR18306561_2	(28, 7205.0)	(29, 9.0)	(30, 28.0)	(31, 46.0)	(32, 22.0)	(33, 17.0)	(34, 54.0)	(35, 12.0)	(36, 11.0)	(37, 26.0)	(38, 67.0)	(39, 121.0)	(40, 671.0)	(41, 174.0)	(42, 841.0)	(43, 1728.0)	(44, 5286.0)	(45, 13799.0)	(46, 66130.0)	(47, 306941.0)	(48, 869576.0)	(49, 3101321.0)	(50, 8929318.0)
SRR18306562_1	(28, 13413926.0)																						
SRR18306562_2	(28, 3596.0)	(29, 17.0)	(30, 10.0)	(31, 19.0)	(32, 22.0)	(33, 8.0)	(34, 10.0)	(35, 3.0)	(36, 0.0)	(37, 6.0)	(38, 64.0)	(39, 131.0)	(40, 609.0)	(41, 151.0)	(42, 810.0)	(43, 1700.0)	(44, 5181.0)	(45, 14063.0)	(46, 66021.0)	(47, 310005.0)	(48, 882422.0)	(49, 3132380.0)	(50, 8996698.0)
SRR18306563_1	(28, 13295569.0)																						
SRR18306563_2	(28, 4059.0)	(29, 1.0)	(30, 10.0)	(31, 14.0)	(32, 4.0)	(33, 16.0)	(34, 5.0)	(35, 5.0)	(36, 4.0)	(37, 18.0)	(38, 54.0)	(39, 116.0)	(40, 655.0)	(41, 152.0)	(42, 816.0)	(43, 1686.0)	(44, 5172.0)	(45, 13783.0)	(46, 65586.0)	(47, 307253.0)	(48, 873084.0)	(49, 3103007.0)	(50, 8920069.0)
SRR18306564_1	(28, 11982330.0)																						
SRR18306564_2	(28, 5969.0)	(29, 30.0)	(30, 17.0)	(31, 57.0)	(32, 72.0)	(33, 12.0)	(34, 63.0)	(35, 7.0)	(36, 1.0)	(37, 1.0)	(38, 53.0)	(39, 106.0)	(40, 580.0)	(41, 135.0)	(42, 805.0)	(43, 1548.0)	(44, 4725.0)	(45, 12376.0)	(46, 59299.0)	(47, 276544.0)	(48, 788288.0)	(49, 2794143.0)	(50, 8037499.0)
SRR18306565_1	(28, 11872859.0)																						
SRR18306565_2	(28, 6419.0)	(29, 5.0)	(30, 26.0)	(31, 51.0)	(32, 21.0)	(33, 13.0)	(34, 29.0)	(35, 12.0)	(36, 7.0)	(37, 21.0)	(38, 56.0)	(39, 91.0)	(40, 602.0)	(41, 161.0)	(42, 759.0)	(43, 1468.0)	(44, 4673.0)	(45, 12000.0)	(46, 58980.0)	(47, 272966.0)	(48, 775245.0)	(49, 2769130.0)	(50, 7970124.0)
SRR18306566_1	(28, 11992167.0)																						
SRR18306566_2	(28, 3229.0)	(29, 17.0)	(30, 6.0)	(31, 11.0)	(32, 11.0)	(33, 4.0)	(34, 9.0)	(35, 0.0)	(36, 4.0)	(37, 4.0)	(38, 42.0)	(39, 98.0)	(40, 607.0)	(41, 133.0)	(42, 719.0)	(43, 1490.0)	(44, 4638.0)	(45, 12366.0)	(46, 59036.0)	(47, 278242.0)	(48, 787936.0)	(49, 2799461.0)	(50, 8044104.0)
SRR18306567_1	(28, 11888227.0)																						
