Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR18306560_1	SRR18306560_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15204961.0	425.7 Mbp	0.0	28.0	45.0	67.2036248346563	28.0	28	pass	fail	pass	fail	fail	fail	pass	warn	fail	pass
SRR18306560_2	SRR18306560_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15204961.0	753 Mbp	0.0	28-50	47.0	46.191668720831125	49.52495300711393	50	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SRR18306561_1	SRR18306561_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13303403.0	372.4 Mbp	0.0	28.0	45.0	67.23617041727049	28.0	28	pass	fail	pass	fail	fail	fail	pass	warn	fail	pass
SRR18306561_2	SRR18306561_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13303403.0	658.8 Mbp	0.0	28-50	47.0	44.39008825966255	49.52507520068362	50	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SRR18306562_1	SRR18306562_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13413926.0	375.5 Mbp	0.0	28.0	45.0	67.13463853370344	28.0	28	pass	fail	pass	fail	fail	fail	pass	warn	fail	pass
SRR18306562_2	SRR18306562_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13413926.0	664.3 Mbp	0.0	28-50	47.0	44.37413356721703	49.53021904250851	50	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SRR18306563_1	SRR18306563_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13295569.0	372.2 Mbp	0.0	28.0	45.0	67.137955734643	28.0	28	pass	fail	pass	fail	fail	fail	pass	warn	fail	pass
SRR18306563_2	SRR18306563_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13295569.0	658.5 Mbp	0.0	28-50	47.0	44.55756233559638	49.52977033175489	50	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
SRR18306564_1	SRR18306564_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11982330.0	335.5 Mbp	0.0	28.0	45.0	67.40136252722111	28.0	28	pass	fail	pass	fail	fail	fail	pass	warn	fail	pass
SRR18306564_2	SRR18306564_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11982330.0	593.4 Mbp	0.0	28-50	47.0	47.716230599483936	49.525144024576186	50	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
