Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR18306560_1	32.796375165343704	45.0	28.0	28	50.0	15.204960999999999
SRR18306560_2	53.808331279168875	47.0	49.52495300711393	50	20.0	15.204960999999999
SRR18306561_1	32.763829582729514	45.0	28.0	28	50.0	13.303403
SRR18306561_2	55.60991174033745	47.0	49.52507520068362	50	20.0	13.303403
SRR18306562_1	32.86536146629656	45.0	28.0	28	50.0	13.413926
SRR18306562_2	55.62586643278297	47.0	49.53021904250851	50	20.0	13.413926
SRR18306563_1	32.862044265357	45.0	28.0	28	50.0	13.295568999999999
SRR18306563_2	55.44243766440362	47.0	49.52977033175489	50	20.0	13.295568999999999
SRR18306564_1	32.59863747277889	45.0	28.0	28	50.0	11.98233
SRR18306564_2	52.283769400516064	47.0	49.525144024576186	50	20.0	11.98233
SRR18306565_1	32.565220496433994	45.0	28.0	28	50.0	11.872859
SRR18306565_2	54.94596924922282	47.0	49.52560777484176	50	20.0	11.872859
SRR18306566_1	32.792067025156086	45.0	28.0	28	50.0	11.992167
SRR18306566_2	54.72368374381248	47.0	49.5302655475028	50	20.0	11.992167
SRR18306567_1	32.743989866003346	45.0	28.0	28	50.0	11.888226999999999
SRR18306567_2	54.645217326033816	47.0	49.52974829636076	50	20.0	11.888226999999999
SRR18306568_1	32.87861941623288	45.0	28.0	28	50.0	15.080575
SRR18306568_2	56.27366615172088	47.0	49.52547625007667	50	20.0	15.080575
SRR18306569_1	32.93435583517417	45.0	28.0	28	50.0	15.229284999999999
SRR18306569_2	56.26221043862406	47.0	49.52999119787961	50	20.0	15.229284999999999
SRR18306570_1	32.951136666786454	45.0	28.0	28	50.0	15.085104
SRR18306570_2	56.27336755361645	47.0	49.53024374243625	50	20.0	15.085104
SRR18306571_1	32.542452652125704	45.0	28.0	28	50.0	10.316360999999999
SRR18306571_2	52.16296666923797	47.0	49.52579073182879	50	20.0	10.316360999999999
SRR18306572_1	32.55687132961786	45.0	28.0	28	50.0	10.235835999999999
SRR18306572_2	53.91874364285986	47.0	49.525188758397455	50	20.0	10.235835999999999
SRR18306573_1	32.70563844742395	45.0	28.0	28	50.0	10.329181
SRR18306573_2	54.11408382510573	47.0	49.53033953030739	50	20.0	10.329181
SRR18306574_1	32.711669352198754	45.0	28.0	28	50.0	10.246044999999999
SRR18306574_2	53.864423093643325	47.0	49.529547254574815	50	20.0	10.246044999999999
SRR18306575_1	32.697754259366334	45.0	28.0	28	50.0	13.399493999999999
SRR18306575_2	53.472621647554895	47.0	49.524718097563984	50	20.0	13.399493999999999
SRR18306576_1	32.671770357408676	45.0	28.0	28	50.0	15.607135
SRR18306577_1	32.690497349605295	45.0	28.0	28	50.0	17.25787
SRR18306577_2	60.10531322864639	47.0	49.52034648540057	50	20.0	17.25787
SRR18306578_2	59.840050448162394	47.0	49.525598583081056	50	20.0	17.430495999999998
SRR18306579_1	32.93942727179585	45.0	28.0	28	50.0	17.261644
SRR18306579_2	59.924825586833926	47.0	49.52521665954877	50	20.0	17.261644
SRR18306580_1	32.762502768576454	45.0	28.0	28	50.0	17.1556
SRR18306580_2	56.56692227184502	47.0	49.52059776399543	50	20.0	17.1556
SRR18306581_1	32.6763317161395	45.0	28.0	28	50.0	16.985561999999998
SRR18306581_2	59.85196286847639	47.0	49.52085471178405	50	20.0	16.985561999999998
SRR18306582_1	32.944654609821626	45.0	28.0	28	50.0	17.166474
SRR18306582_2	59.89130341664913	47.0	49.52603941846182	50	20.0	17.166474
SRR18306583_1	32.85637802363851	45.0	28.0	28	50.0	16.959906
SRR18306583_2	59.55334768890899	47.0	49.52484742545153	50	20.0	16.959906
SRR18306584_1	32.72569615687988	45.0	28.0	28	50.0	15.472283
SRR18306584_2	58.127251200825256	47.0	49.52222396656008	50	20.0	15.472283
SRR18306585_1	32.90496375048343	45.0	28.0	28	50.0	15.616202999999999
SRR18306585_2	58.21477413796506	47.0	49.526753398377316	50	20.0	15.616202999999999
SRR18306586_1	32.88464695287918	45.0	28.0	28	50.0	15.459446999999999
SRR18306586_2	58.11144901695471	47.0	49.52631306928379	50	20.0	15.459446999999999
SRR18306587_1	32.13637273975972	45.0	28.0	28	50.0	6.05295
SRR18306587_2	51.971199708547026	47.0	49.52095292378097	50	20.0	6.05295
SRR18306588_1	32.28587696686745	45.0	28.0	28	50.0	6.008573
SRR18306588_2	53.01627662947636	47.0	49.52112190365333	50	20.0	6.008573
SRR18306589_1	32.25974072054491	45.0	28.0	28	50.0	6.061018
SRR18306589_2	53.268507734108056	47.0	49.52539358899776	50	20.0	6.061018
SRR18306590_1	32.33068769842528	45.0	28.0	28	50.0	6.006920999999999
SRR18306590_2	53.20872395247614	47.0	49.52574238948706	50	20.0	6.006920999999999
SRR18306591_1	32.753646288219315	45.0	28.0	28	50.0	17.406261999999998
SRR18306591_2	57.077154424742396	47.0	49.52036083335986	50	20.0	17.406261999999998
